NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
ST JOHN'S LUTHERAN CHURCH,6601 SHERMAN AVE,HOUSTON,TX,77011,POST,HARRIS,0,10,0,No,29.74045657,-95.30907575,Buffalo-San Jacinto,img/shelters.png
ST. ANDREW'S PRESBYTERIAN CHURCH,5308 BUFFALO SPEEDWAY,HOUSTON,TX,77005,EVAC,HARRIS,200,77,0,No,29.72476634,-95.42825072,Buffalo-San Jacinto,img/shelters.png
WOOSTER BAPTIST CHURCH,7007 BAYWAY DRIVE,BAYTOWN,TX,77520,EVAC,HARRIS,200,200,0,No,29.7661976,-95.03284558,Buffalo-San Jacinto,img/shelters.png
RICE TEMPLE BAPTIST CHURCH,6409 GREENBRIAR,HOUSTON,TX,77030,EVAC,HARRIS,150,75,0,No,29.70873688,-95.41226367,Buffalo-San Jacinto,img/shelters.png
FIRST UNITED METHODIST CHURCH OF KATY,5601 5TH STREET,KATY,TX,77493,BOTH,HARRIS,235,117,0,No,29.79021285,-95.82178071,Buffalo-San Jacinto,img/shelters.png
OUR REDEEMER LUTHERAN CHURCH,215 RITTENHOUSE,HOUSTON,TX,77076,EVAC,HARRIS,160,0,0,No,29.86486938,-95.37478109,Buffalo-San Jacinto,img/shelters.png
DELIVERANCE TEMPLE CHURCH OF THE LIVING GOD,451 VICTORIA DR,HOUSTON,TX,77022,POST,HARRIS,0,50,1,Yes,29.83435603,-95.39351042,Buffalo-San Jacinto,img/shelters.png
ACRES HOMES COMMUNITY DEVELOPMENT CORPORATION,6719 W MONTGOMERY RD,HOUSTON,TX,77091,EVAC,HARRIS,250,105,0,No,29.85745771,-95.42183024,Buffalo-San Jacinto,img/shelters.png
ST PETER CLAVER CHURCH,6005 NORTH WAYSIDE,HOUSTON,TX,77028,EVAC,HARRIS,104,52,0,No,29.81662624,-95.28495579,Buffalo-San Jacinto,img/shelters.png
SAINT MAXIMILIAN KOLBE CATHOLIC COMMUNITY,10135 WEST ROAD,HOUSTON,TX,77064,EVAC,HARRIS,710,355,0,No,29.90841408,-95.56957728,Buffalo-San Jacinto,img/shelters.png
BELLAIRE UNITED METHODIST CHURCH,4417 BELLAIRE BLVD,BELLAIRE,TX,77401,EVAC,HARRIS,150,140,0,No,29.70524847,-95.45063491,Buffalo-San Jacinto,img/shelters.png
LORENZO DE ZAVALA ELEMENTARY SCHOOL,101 JACKSON,PASADENA,TX,77506,POST,HARRIS,0,1,0,No,29.70611749,-95.21093572,Buffalo-San Jacinto,img/shelters.png
HEIGHTS CHRISTIAN CHURCH,1703 HEIGHTS BLVD,HOUSTON,TX,77008,EVAC,HARRIS,100,50,0,No,29.80170676,-95.39830785,Buffalo-San Jacinto,img/shelters.png
CHRIST THE KING LUTHERAN CHURCH,2353 RICE BOULEVARD,HOUSTON,TX,77005,EVAC,HARRIS,100,26,0,No,29.71706443,-95.41298316,Buffalo-San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH OF SOUTH HOUSTON,315 GEORGIA ST,SOUTH HOUSTON,TX,77587,EVAC,HARRIS,100,101,0,No,29.66774155,-95.23680923,Buffalo-San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH OF JACINTO CITY,10701 WIGGINS,HOUSTON,TX,77029,EVAC,HARRIS,190,95,0,No,29.7663363,-95.23980943,Buffalo-San Jacinto,img/shelters.png
SOUTHWEST COMMUNITY CHRISTIAN CENTER,14880 BELLAIRE BLVD,HOUSTON,TX,77083,EVAC,HARRIS,100,0,1,Yes,29.70248417,-95.65033852,Buffalo-San Jacinto,img/shelters.png
LINDALE ASSEMBLY OF GOD CHURCH,504 CAPLAN,HOUSTON,TX,77022,EVAC,HARRIS,200,0,0,No,29.81502106,-95.36509724,Buffalo-San Jacinto,img/shelters.png
DEER PARK UNITED METHODIST CHURCH,1300 EAST 13TH STREET,DEER PARK,TX,77536,EVAC,HARRIS,200,0,0,No,29.69959432,-95.1094468,Buffalo-San Jacinto,img/shelters.png
FORGE FOR FAMILIES,3435 DIXIE DRIVE,HOUSTON,TX,77021,BOTH,HARRIS,1000,500,0,No,29.70435387,-95.36761877,Buffalo-San Jacinto,img/shelters.png
DELL DALE AVENUE BAPTIST CHURCH,402 DELL DALE AVE,CHANNELVIEW,TX,77530,POST,HARRIS,418,209,0,No,29.77968259,-95.13837136,Buffalo-San Jacinto,img/shelters.png
BETHANY BAPTIST CHURCH SBC,7304 HOMESTEAD,HOUSTON,TX,77028,BOTH,HARRIS,500,250,0,No,29.82796697,-95.30113526,Buffalo-San Jacinto,img/shelters.png
