NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
PORT NECHES MIDDLE SCHOOL,2031 LLANO,PORT NECHES,TX,77651,POST,OPEN,JEFFERSON,804,0,0,No,29.97964403,-93.95945785,Sabine Lake,img/shelters.png
HENDERSON MIDDLE SCHOOL,605 AVE B,CHINA,TX,77613,POST,OPEN,JEFFERSON,1600,0,0,No,30.04389873,-94.34111791,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- ST. JOHNS CATHOLIC CHURCH,620 WEST 53RD STREET,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,71,1,Yes,29.89660518,-93.9862009,Sabine Lake,img/shelters.png
ST. ANNE CHURCH,2715 CALDER,BEAUMONT,TX,77704,POST,OPEN,JEFFERSON,0,170,0,No,30.08411347,-94.13091643,Sabine Lake,img/shelters.png
FIRST BAPTIST CHURCH WINNIE,120W PEAR ST,WINNIE,TX,77665,BOTH,OPEN,CHAMBERS,300,150,0,No,29.81900989,-94.38333806,Sabine Lake,img/shelters.png
ANTIOCH MISSIONARY BAPTIST CHURCH,3920 W CARDINAL DR,BEAUMONT,TX,77705,BOTH,OPEN,JEFFERSON,726,363,0,No,30.04228655,-94.12421926,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- OUR LADY OF GUADALUPE CATHOLIC C,3648 S/SGT LUCIEN ADAMS DRIVE,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,282,1,Yes,29.93754404,-93.96363605,Sabine Lake,img/shelters.png
WINNIE STOWELL,202 S PARK,WINNIE,TX,77665,BOTH,OPEN,JEFFERSON,300,175,0,No,29.81142334,-94.37913106,Sabine Lake,img/shelters.png
CORNERSTONE CHURCH OF THE NAZARENE,420 SOUTH MAJOR DRIVE,BEAUMONT,TX,77707,EVAC,OPEN,JEFFERSON,1,0,0,No,30.07197161,-94.19039404,Sabine Lake,img/shelters.png
"ANTIOCH MISSIONARY BAPTIST CHURCH, LLMELTON FACILITY (H",3455 SARAH STREET,BEAUMONT,TX,77705,BOTH,OPEN,JEFFERSON,10,5,0,No,30.04474509,-94.12115656,Sabine Lake,img/shelters.png
KINGDOM DIMINION CHRISTIAN CENTER CHURCH,3600 MEMORIAL BLVD,PORT ARTHUR,TX,77642,EVAC,OPEN,JEFFERSON,70,0,0,No,29.91155223,-93.94537928,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- SACRED HEART CATHOLIC CHURCH,920 WASHINGTON AVE,PORT ARTHUR,TX,77640,POST,OPEN,JEFFERSON,0,135,0,No,29.865669,-93.94834489,Sabine Lake,img/shelters.png
FIRST BAPTIST CHURCH,1911 NEDERLAND AVE,NEDERLAND,TX,77627,POST,OPEN,JEFFERSON,0,1900,0,No,29.96866284,-93.99389585,Sabine Lake,img/shelters.png
FIRST BAPTIST CHURCH,15304 TEXAS 124,HAMSHIRE,TX,77622,BOTH,OPEN,JEFFERSON,40,20,0,No,29.85790383,-94.3151726,Sabine Lake,img/shelters.png
ST. ANNE CATHOLIC SCHOOL,2715 CALDER AVE,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,170,0,No,30.0846306,-94.13028115,Sabine Lake,img/shelters.png
KNIGHTS OF CLOUMBUS HALL,6621 WEST PORT ARTHUR RD,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,280,0,0,No,29.91159104,-94.01598021,Sabine Lake,img/shelters.png
